83008;theatre program ;0;top;
83008;theatre list ;0;top;
726654;mountain top snow ;1;top;1
780226;graffiti rap clip ;0;som;
780226;graffiti rap singer ;0;som;
799783;inside church ;0;som;
799783;inside church chear;3;som;1,2,1
799783;inside church ;1;som;1
609301;sledge in baby;0;som;
609301;sledge ;0;som;
609301;slege ;0;som;
609301;sledge ;0;som;
609301;sledge snow ;4;som;1,2,1,1
312770;text;0;top;
312770;text stone ;10;top;1,1,1,1,1,1,1,1,1,1
733324;handshake ;8;som;2,1,2,2,1,1,1,1
633863;cutting ;7;som;1,4,1,1,1,1,4
757607;wheelchair ;0;top;
757607;wheelchair green ;0;top;
757607;wheelchair ;5;top;1,2,1,2,1
405349;hand orange ;0;som;
405349;hand lemon ;1;som;1
380564;singing man microphone ;3;top;2,1,1
828435;house pool ;0;som;
828435;house grass ;3;som;2,1,2
828435;house grass garden ;5;som;2,2,1,2,1
783244;pavement ;13;top;2,1,3,2,2,1,2,2,2,3,2,5,1
1003086;man playing guitar ;3;som;1,1,1
281943;bike ride ;8;top;1,1,1,3,1,6,2,1
281943;bike ride black T-ishrt;0;top;
281943;bike ride ;5;top;2,2,1,1,2
1080823;white castle ;3;som;1,1,1
799783;room wood priest people praying cloak ;5;top;6,1,1,1,4
595922;camera cameraman crowd ;2;som;4,2
609301;snow child sledge trees ;0;top;
609301;snow child sledge vintage ;2;top;3,3
609301;snow child sledge vintage old ;0;top;
609301;snow child sledge vintage winter ;4;top;3,5,4,5
312770;text person paper bushes ;5;som;3,3,3,4,3
733324;hand hands arm woman ;0;top;
733324;hand hands arm woman bracelet ;0;top;
733324;hands arm woman bracelet ;17;top;4,4,4,5,4,3,5,7,6,5,6,6,6,6,1,2,3
578004;screen dark ;0;som;
578004;screen dark television ;1;som;3
633863;cooking knife herbs cutting ;0;top;
757607;handicapped wheelchair green human ;3;som;2,2,5
405349;hand lemons sleeve ;0;top;
380564;singer microphone black ;0;som;
828435;building chair door ;0;top;
828435;building chair door tree ;1;top;3
783244;sidewalk street bicycle ;2;som;3,6
783244;sidewalk street bicycle;4;som;3,5,4,3
1003086;guitar guitarist window party ;0;top;
1003086;guitar guitarist window ;14;top;4,4,4,4,3,5,4,4,4,4,4,3,3,3
281943;bicycle helmet trees ;9;som;2,1,3,2,3,2,4,4,3
1080823;white building temple sky ;7;top;3,3,3,6,6,4,5
541161;room walls window white bed hanger ;0;top;
343;hindu india praying dress ;5;top;3,4,3,3,3
647700;men pistol shirt sky handgun ;0;som;
647700;men shirt sky handgun ;2;som;1,1
647700;shirt sky handgun man suit ;3;som;1,3,3
20379;winter snow tree ;0;top;
20379;winter snow tree sky ;3;top;4,5,5
958292;men sunglasses suit bold ;3;som;2,4,2
1098994;safari car couple ;0;top;
1098994;safari car couple grass ;1;top;2
990334;tent sleeping man ;0;som;
667883;snowboard snowboarder sky mountain snow ;6;top;4,3,4,2,3,2
799783;church priest brown ;0;top;
799783;church priest brown wooden chairs ;1;top;3
799783;church priest brown wooden chairs reading ;0;top;
